# Names as the emulator reads them out of the romset, with the region it states.
# 'check' rows are where your label shares no word with the emulator's.
romset	your label	game	region	suggested name	class
asurabld.zip	Asura Blade - Sword Of Dynasty	Asura Blade - Sword of Dynasty	Japan	Asura Blade - Sword of Dynasty (Japan)	alias
asurabus.zip	Asura Buster - Eternal Warriors	Asura Buster - Eternal Warriors	USA	Asura Buster - Eternal Warriors (USA)	alias
atetris.zip	Tetris	Tetris (set 1)	—	Tetris (set 1)	alias
atlantis.zip	Battle of Atlantis	Battle of Atlantis (set 1)	—	Battle of Atlantis (set 1)	alias
atomicp.zip	Atomic Point	Atomic Point	Korea	Atomic Point (Korea)	alias
aurail.zip	Aurail (set 3, US) (unprotected)	Aurail (set 3) (unprotected)	USA	Aurail (set 3) (unprotected) (USA)	alias
avengrgs.zip	Avengers In Galactic Storm	Avengers In Galactic Storm (US/Europe 1.0)	—	Avengers In Galactic Storm (US/Europe 1.0)	alias
avsp.zip	Alien vs. Predator	Alien vs. Predator (Europe 940520)	—	Alien vs. Predator (Europe 940520)	alias
b2b.zip	Bang Bang Busters	Bang Bang Busters (2010 NCI release)	—	Bang Bang Busters (2010 NCI release)	alias
bace.zip	bace	Balloon Ace	—	Balloon Ace	check
backfire.zip	Backfire!	Backfire! (set 1)	Japan	Backfire! (set 1) (Japan)	alias
badapple.zip	ZZZ(notgame):Demos	Bad Apple (HB, Tech-Demo)	—	Bad Apple (HB, Tech-Demo)	check
baddudes.zip	Bad Dudes vs. Dragonninja	Bad Dudes vs. Dragonninja (revision 1)	USA	Bad Dudes vs. Dragonninja (revision 1) (USA)	alias
bakatono.zip	Bakatonosama Mahjong Manyuuki	Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002)	—	Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002)	alias
bakubrkr.zip	Bakuretsu Breaker	Bakuretsu Breaker	Japan	Bakuretsu Breaker (Japan)	alias
baluba.zip	Baluba-louk No Densetsu	Baluba-louk no Densetsu	Japan	Baluba-louk no Densetsu (Japan)	alias
bangball.zip	Bang Bang Ball	Bang Bang Ball (v1.05)	—	Bang Bang Ball (v1.05)	alias
baryon.zip	Baryon: Future Assault	Baryon - Future Assault (set 1)	—	Baryon - Future Assault (set 1)	alias
batcir.zip	Battle Circuit	Battle Circuit (Europe 970319)	—	Battle Circuit (Europe 970319)	alias
batrider.zip	Armed Police Batrider	Armed Police Batrider (Fri Feb 13 1998)	Europe	Armed Police Batrider (Fri Feb 13 1998) (Europe)	alias
battlane.zip	Battle Lane! Vol. 5	Battle Lane! Vol. 5 (set 1)	—	Battle Lane! Vol. 5 (set 1)	alias
battlnts.zip	Battlantis	Battlantis (version G)	—	Battlantis (version G)	alias
bayroute.zip	Bay Route	Bay Route (set 3) (FD1094 317-0116)	World	Bay Route (set 3) (FD1094 317-0116) (World)	alias
bbakraid.zip	Battle Bakraid: Unlimited Version	Battle Bakraid - Unlimited Version (Tue Jun 8 1999)	USA	Battle Bakraid - Unlimited Version (Tue Jun 8 1999) (USA)	alias
bbbxing.zip	Best Bout Boxing	Best Bout Boxing (ver 1.3)	—	Best Bout Boxing (ver 1.3)	alias
bbmanw.zip	New Atomic Punk - Global Quest	Bomber Man World / New Dyna Blaster - Global Quest	—	Bomber Man World / New Dyna Blaster - Global Quest	alias
bbros.zip	Buster Bros.	Buster Bros.	USA	Buster Bros. (USA)	alias
bbusters.zip	Beast Busters	Beast Busters	World	Beast Busters (World)	alias
bchopper.zip	Battle Chopper	Battle Chopper	World	Battle Chopper (World)	alias
bcstry.zip	B.C. Story	B.C. Story (set 1)	—	B.C. Story (set 1)	alias
beast.zip	ZZZ(notgame):Demos	Shadow of the Beast (Neo Geo demo)	—	Shadow of the Beast (Neo Geo demo)	check
benberob.zip	Ben Bero Beh	Ben Bero Beh	Japan	Ben Bero Beh (Japan)	alias
berabohm.zip	Beraboh Man	Chou Zetsurinjin Berabowman (Rev C)	Japan	Chou Zetsurinjin Berabowman (Rev C) (Japan)	check
bermudat.zip	Bermuda Triangle	Bermuda Triangle (World?)	—	Bermuda Triangle (World?)	alias
bestbest.zip	Best of Best	Best Of Best	—	Best Of Best	alias
bestri.zip	Bestri (Korea, set 1)	Bestri (set 1)	Korea	Bestri (set 1) (Korea)	alias
bgaregga.zip	Battle Garegga	Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)	—	Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)	alias
bigkarnk.zip	Big Karnak	Big Karnak (ver. 1.0, checksum 1e38c94)	—	Big Karnak (ver. 1.0, checksum 1e38c94)	alias
bigprowr.zip	Tag Team Wrestling	The Big Pro Wrestling! (set 1)	—	The Big Pro Wrestling! (set 1)	alias
bigrun.zip	Big Run	Big Run (11th Rallye version, Europe?)	—	Big Run (11th Rallye version, Europe?)	alias
bikkuric.zip	Bikkuri Card	Bikkuri Card	Japan	Bikkuri Card (Japan)	alias
biomtoy.zip	Biomechanical Toy	Biomechanical Toy (ver. 1.0.1885, checksum 69f5e032)	—	Biomechanical Toy (ver. 1.0.1885, checksum 69f5e032)	alias
bionicc.zip	Bionic Commando	Bionic Commando (Euro)	—	Bionic Commando (Euro)	alias
birdtry.zip	Birdie Try	Birdie Try (revision 2, revision 1 MCU)	Japan	Birdie Try (revision 2, revision 1 MCU) (Japan)	alias
bishi.zip	Bishi Bashi Championship Mini Game Senshuken	Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)	—	Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)	alias
bjourney.zip	Blue's Journey	Blue's Journey / Raguy (ALM-001 ~ ALH-001)	—	Blue's Journey / Raguy (ALM-001 ~ ALH-001)	alias
bjtwin.zip	Bomb Jack Twin	Bombjack Twin (set 1)	—	Bombjack Twin (set 1)	alias
bladestl.zip	Blades Of Steel	Blades of Steel (version T, Joystick)	—	Blades of Steel (version T, Joystick)	alias
blastoff.zip	Blast Off	Blast Off	Japan	Blast Off (Japan)	alias
blazeon.zip	Blaze On	Blaze On	World	Blaze On (World)	alias
blmbycar.zip	Blomby Car	Blomby Car (Version 1P0)	—	Blomby Car (Version 1P0)	alias
block.zip	Block Block	Block Block (World 911219 Joystick)	—	Block Block (World 911219 Joystick)	alias
blockcar.zip	Block Carnival	Block Carnival / Thunder & Lightning 2	—	Block Carnival / Thunder & Lightning 2	alias
blockgal.zip	Block Gal	Block Gal (MC-8123B, 317-0029)	—	Block Gal (MC-8123B, 317-0029)	alias
blockout.zip	Block Out	Block Out (set 1)	—	Block Out (set 1)	alias
bloodbro.zip	Blood Bros.	Blood Bros. (World?)	—	Blood Bros. (World?)	alias
bloxeed.zip	Bloxeed (Japan) (FD1094 317-0139)	Bloxeed (FD1094 317-0139)	Japan	Bloxeed (FD1094 317-0139) (Japan)	alias
blstroid.zip	Blasteroids	Blasteroids (rev 4)	—	Blasteroids (rev 4)	alias
blswhstl.zip	Bells & Whistles	Bells & Whistles (version L)	World	Bells & Whistles (version L) (World)	alias
blueprnt.zip	Blue Print	Blue Print (Midway)	—	Blue Print (Midway)	alias
bmaster.zip	Blade Master	Blade Master	World	Blade Master (World)	alias
bnzabros.zip	Bonanza Bros.	Bonanza Bros (Floppy DS3-5000-07d? Based)	USA	Bonanza Bros (Floppy DS3-5000-07d? Based) (USA)	alias
bodyslam.zip	Body Slam	Body Slam (8751 317-0015)	—	Body Slam (8751 317-0015)	alias
bombkick.zip	Bomb Kick	Bomb Kick (set 1)	—	Bomb Kick (set 1)	alias
bonkadv.zip	Bonk's Adventure - Arcade Version	B.C. Kid / Bonk's Adventure: Arcade Version / Kyukyoku!! PC Genjin: Special Arcade Version	Europe	B.C. Kid / Bonk's Adventure: Arcade Version / Kyukyoku!! PC Genjin: Special Arcade Version (Europe)	alias
bonzeadv.zip	Bonze Adventure	Bonze Adventure (rev 1)	World	Bonze Adventure (rev 1) (World)	alias
boogwing.zip	Boogie Wings	Boogie Wings (Europe v1.5, 92.12.07)	—	Boogie Wings (Europe v1.5, 92.12.07)	alias
boomrang.zip	Boomer Rang'r	Boomer Rang'r / Genesis (set 1)	—	Boomer Rang'r / Genesis (set 1)	alias
boonggab.zip	Boong-ga Boong-ga	Boong-Ga Boong-Ga (Spank'em!)	—	Boong-Ga Boong-Ga (Spank'em!)	alias
bottom9.zip	Bottom Of The Ninth	Bottom of the Ninth (version T)	—	Bottom of the Ninth (version T)	alias
bouldash.zip	Boulder Dash / Boulder Dash Part 2	Boulder Dash / Boulder Dash Part 2	World	Boulder Dash / Boulder Dash Part 2 (World)	alias
bounty.zip	The Bounty	The Bounty (set 1)	—	The Bounty (set 1)	alias
bowlrama.zip	Bowl-O-Rama	Bowl-O-Rama (Rev 1.0)	—	Bowl-O-Rama (Rev 1.0)	alias
boxyboy.zip	Boxy Boy	Boxy Boy (SB2)	World	Boxy Boy (SB2) (World)	alias
brapboys.zip	B.Rap Boys	B.Rap Boys	World	B.Rap Boys (World)	alias
brival.zip	Burning Rival	Burning Rival	World	Burning Rival (World)	alias
brkthruu.zip	Break Thru	Break Thru	USA	Break Thru (USA)	alias
brubber.zip	Bump 'n' Jump	Burnin' Rubber	—	Burnin' Rubber	check
bshark.zip	Battle Shark	Battle Shark	World	Battle Shark (World)	alias
bssoccer.zip	Back Street Soccer	Back Street Soccer (KRB-0031 PCB)	—	Back Street Soccer (KRB-0031 PCB)	alias
bstars.zip	Baseball Stars Professional	Baseball Stars Professional (NGM-002)	—	Baseball Stars Professional (NGM-002)	alias
btime.zip	BurgerTime	Burger Time (Data East set 1)	—	Burger Time (Data East set 1)	alias
bubblem.zip	Bubble Memories: The Story of Bubble Bobble III	Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)	—	Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)	alias
bublbob2.zip	Bubble Symphony	Bubble Bobble II (Ver 2.6O 1994/12/16)	—	Bubble Bobble II (Ver 2.6O 1994/12/16)	alias
bublbobl.zip	Bubble Bobble	Bubble Bobble (Ver 0.1)	Japan	Bubble Bobble (Ver 0.1) (Japan)	alias
bublbust.zip	Puzzle Bobble	Bubble Buster (B-System)	USA	Bubble Buster (B-System) (USA)	check
buccanrs.zip	Buccaneers	Buccaneers (set 1)	—	Buccaneers (set 1)	alias
bucky.zip	Bucky O'Hare	Bucky O'Hare (ver EAB)	—	Bucky O'Hare (ver EAB)	alias
bullfgt.zip	Bullfight	Bullfight (315-5065)	—	Bullfight (315-5065)	alias
burnforc.zip	Burning Force	Burning Force (new version (Rev C))	Japan	Burning Force (new version (Rev C)) (Japan)	alias
burningf.zip	Burning Fight	Burning Fight (NGM-018 ~ NGH-018)	—	Burning Fight (NGM-018 ~ NGH-018)	alias
butasan.zip	Butasan - Pig's & Bomber's	Butasan - Pig's & Bomber's (English)	Japan	Butasan - Pig's & Bomber's (English) (Japan)	alias
bwings.zip	Battle Wings	B-Wings (Japan new Ver.)	—	B-Wings (Japan new Ver.)	alias
bzone.zip	Battlezone	Battle Zone (rev 2)	—	Battle Zone (rev 2)	alias
cabal.zip	Cabal (World, Joystick)	Cabal (Joystick)	World	Cabal (Joystick) (World)	alias
cabalng.zip	Cabal	Cabal - Neo Geo Conversion (HB)	—	Cabal - Neo Geo Conversion (HB)	alias
cachat.zip	Tube-it	Cachat	Japan	Cachat (Japan)	check
cadanglr.zip	Angler Dangler	Angler Dangler (DECO Cassette)	USA	Angler Dangler (DECO Cassette) (USA)	alias
cairblad.zip	Change Air Blade	Change Air Blade	Japan	Change Air Blade (Japan)	alias
calibr50.zip	Caliber 50	Caliber 50 (Ver. 1.01)	—	Caliber 50 (Ver. 1.01)	alias
calorie.zip	Calorie Kun Vs Moguranian	Calorie Kun vs Moguranian	—	Calorie Kun vs Moguranian	alias
cameltryu.zip	Cameltry (US, YM2610)	Cameltry (YM2610)	USA	Cameltry (YM2610) (USA)	alias
cannball.zip	Cannon Ball	Cannon Ball (Yun Sung, horizontal)	—	Cannon Ball (Yun Sung, horizontal)	alias
cannonbp.zip	Cannon Ball	Cannon Ball (Pac-Man Hardware)	—	Cannon Ball (Pac-Man Hardware)	alias
capbowl.zip	Capcom Bowling	Capcom Bowling (set 1)	—	Capcom Bowling (set 1)	alias
captaven.zip	Captain America And The Avengers	Captain America and The Avengers (Asia Rev 1.4)	—	Captain America and The Avengers (Asia Rev 1.4)	alias
captcomm.zip	Captain Commando	Captain Commando (World 911202)	—	Captain Commando (World 911202)	alias
cashquiz.zip	Cash Quiz	Cash Quiz (Type B, Version 5)	—	Cash Quiz (Type B, Version 5)	alias
castfant.zip	Astro Fantasia	Astro Fantasia (DECO Cassette)	USA	Astro Fantasia (DECO Cassette) (USA)	alias
cawing.zip	Carrier Air Wing	Carrier Air Wing (World 901012)	—	Carrier Air Wing (World 901012)	alias
cbasebal.zip	Capcom baseball	Capcom Baseball	Japan	Capcom Baseball (Japan)	alias
cbdash.zip	Boulder Dash	Boulder Dash (DECO Cassette)	USA	Boulder Dash (DECO Cassette) (USA)	alias
cbombers.zip	Chase Bombers	Chase Bombers	World	Chase Bombers (World)	alias
cbtime.zip	Burger Time	Burger Time (DECO Cassette)	USA	Burger Time (DECO Cassette) (USA)	alias
cburnrub.zip	Burnin' Rubber (DECO Cassette)	Burnin' Rubber (DECO Cassette) (set 1)	USA	Burnin' Rubber (DECO Cassette) (set 1) (USA)	alias
cbuster.zip	Two Crude	Crude Buster (World FX version)	—	Crude Buster (World FX version)	alias
ccastles.zip	Crystal Castles	Crystal Castles (version 4)	—	Crystal Castles (version 4)	alias
cclimbr2.zip	Crazy Climber 2	Crazy Climber 2	Japan	Crazy Climber 2 (Japan)	alias
cdiscon1.zip	Disco No.1 (DECO Cassette)	Disco No.1 (DECO Cassette)	USA	Disco No.1 (DECO Cassette) (USA)	alias
cdsteljn.zip	Ds Telejan	DS Telejan (DECO Cassette)	Japan	DS Telejan (DECO Cassette) (Japan)	alias
centiped.zip	Centipede	Centipede (revision 4)	—	Centipede (revision 4)	alias
cexplore.zip	Explorer	Explorer (DECO Cassette)	USA	Explorer (DECO Cassette) (USA)	alias
cfboy0a1.zip	Flash Boy	Flash Boy (vertical) (DECO Cassette MD) (No.12/Ver.0/Set.1)	Japan	Flash Boy (vertical) (DECO Cassette MD) (No.12/Ver.0/Set.1) (Japan)	alias
cfghtice.zip	Fighting Ice Hockey	Fighting Ice Hockey (DECO Cassette)	USA	Fighting Ice Hockey (DECO Cassette) (USA)	alias
cflyball.zip	Flying Ball	Flying Ball (DECO Cassette)	USA	Flying Ball (DECO Cassette) (USA)	alias
cgangpzl.zip	Cosmo Gang The Puzzle	Cosmo Gang the Puzzle	USA	Cosmo Gang the Puzzle (USA)	alias
cgraplop.zip	Graplop	Cluster Buster (DECO Cassette)	USA	Cluster Buster (DECO Cassette) (USA)	check
chainrec.zip	Chain Reaction	Chain Reaction (Version 2.2, 1995.09.25)	World	Chain Reaction (Version 2.2, 1995.09.25) (World)	alias
champbas.zip	Champion Base Ball	Champion Base Ball	World	Champion Base Ball (World)	alias
champbb2.zip	Champion Base Ball Part-2	Champion Base Ball Part-2 (set 1)	World	Champion Base Ball Part-2 (set 1) (World)	alias
champwr.zip	Champion Wrestler	Champion Wrestler	World	Champion Wrestler (World)	alias
chasehq.zip	Chase H.Q.	Chase H.Q.	World	Chase H.Q. (World)	alias
chelnov.zip	Chelnov - Atomic Runner	Atomic Runner Chelnov	World	Atomic Runner Chelnov (World)	alias
chimerab.zip	Chimera Beast	Chimera Beast (prototype, set 1)	Japan	Chimera Beast (prototype, set 1) (Japan)	alias
chinagat.zip	China Gate	China Gate	USA	China Gate (USA)	alias
chinatwn.zip	China Town	China Town	Japan	China Town (Japan)	alias
chkun.zip	Chance Kun	Chance Kun	Japan	Chance Kun (Japan)	alias
choko.zip	Janpai Puzzle Choukou	Janpai Puzzle Choukou (Japan 010820)	—	Janpai Puzzle Choukou (Japan 010820)	alias
choplift.zip	Choplifter	Choplifter (8751 315-5151)	—	Choplifter (8751 315-5151)	alias
chopper.zip	Chopper I	Chopper I (US Ver 2)	—	Chopper I (US Ver 2)	alias
chukatai.zip	Chuka Taisen	Chuka Taisen (P0-028-A PCB)	World	Chuka Taisen (P0-028-A PCB) (World)	alias
chwy.zip	Highway Chase	Highway Chase (DECO Cassette)	USA	Highway Chase (DECO Cassette) (USA)	alias
circusc.zip	Circus Charlie	Circus Charlie (level select, set 1)	—	Circus Charlie (level select, set 1)	alias
citybomb.zip	City Bomber	City Bomber	World	City Bomber (World)	alias
citycon.zip	City Connection	City Connection (set 1)	—	City Connection (set 1)	alias
ckongpt2.zip	Crazy Kong Part II	Crazy Kong Part II (set 1)	—	Crazy Kong Part II (set 1)	alias
clapapa.zip	Rootin' Tootin' / La-pa-pa	Rootin' Tootin' / La-Pa-Pa (DECO Cassette)	USA	Rootin' Tootin' / La-Pa-Pa (DECO Cassette) (USA)	alias
claypign.zip	Clay Pigeon	Clay Pigeon (version 2.0)	—	Clay Pigeon (version 2.0)	alias
cleopatr.zip	Cleopatra Fortune	Cleopatra Fortune (Ver 2.1J 1996/09/05)	—	Cleopatra Fortune (Ver 2.1J 1996/09/05)	alias
cloak.zip	Cloak & Dagger	Cloak & Dagger (rev 5)	—	Cloak & Dagger (rev 5)	alias
